site,country,lat,lon,bioregion,code,used
"Lagoa Misteriosa, cerrad√£o mesotr√≥fico",Brazil,-19.43280029,-57.06579971,Central Brazil,380,yes
"Lagoa Santa, Lapinha, floresta decidual",Brazil,-19.55999947,-43.95970154,Central Brazil,381,yes
"Lajeado do Bugre, floresta semidecidual",Brazil,-27.6508007,-53.25310135,Misiones,384,yes
"Lassance, floresta decidual",Brazil,-17.94389915,-44.68360138,Central Brazil,388,yes
"Livramento do Brumado, nanofloresta decidual rup√≠cola",Brazil,-13.58329964,-41.95830154,Caatinga,392,yes
"Maca√≠ba, floresta decidual",Brazil,-5.887199879,-35.38140106,Caatinga,400,yes
"Maca√∫ba, cerrad√£o satur√°vel",Brazil,-12.49419975,-47.74890137,Central Brazil,401,yes
"Maca√∫bas, caatinga carbon√°tica",Brazil,-13.07059956,-42.49670029,Caatinga,402,yes
"Maci√ßo do Urucum, sop√©s, floresta decidual",Brazil,-21.56830025,-53.0141983,Central Brazil,403,yes
"Manga, Parque da Mata Seca, caatinga arb√≥rea",Brazil,-14.80309963,-43.96110153,Caatinga,408,yes
"Mansid√£o, caatinga arb√≥rea",Brazil,-10.8142004,-43.61420059,Caatinga,409,yes
"Marechal C√¢ndido Rondon, floresta semidecidual",Brazil,-24.50469971,-54.28969955,Misiones,420,yes
"Matias Cardoso, Cajueiro, caatinga arb√≥rea",Brazil,-15.0031004,-43.90029907,Caatinga,423,yes
"Matias Cardoso, Gado Bravo, caatinga arb√≥rea",Brazil,-14.98219967,-43.52140045,Caatinga,424,yes
"Matias Cardoso, Verde Grande, caatinga arb√≥rea",Brazil,-14.74919987,-43.82249832,Caatinga,425,yes
"Mato Verde, caatinga arb√≥rea",Brazil,-15.39719963,-42.82830048,Caatinga,426,yes
"Medianeira, floresta semidecidual",Brazil,-25.20859909,-54.19329834,Misiones,429,yes
"Milagres, caatinga quartzosa",Brazil,-12.86940002,-39.8321991,Caatinga,432,yes
"Mineiros, cerrado",Brazil,-15.36919975,-48.87530136,Central Brazil,435,yes
Miranda_Cerrad√£o,Brazil,-20.26670074,-56.23329926,Central Brazil,437,yes
"Mirandiba, caatinga quartzosa",Brazil,-8.068300247,-38.71749878,Caatinga,438,yes
"Mocambo, caatinga carbon√°tica",Brazil,-12.76580048,-42.50719833,Caatinga,439,yes
"Modelo, floresta semidecidual",Brazil,-26.72890091,-53.41030121,Misiones,443,yes
"Monda√≠, floresta semidecidual",Brazil,-27.08860016,-53.50920105,Misiones,446,yes
"Montalv√¢nia, caatinga arb√≥rea",Brazil,-14.43470001,-44.41220093,Caatinga,448,yes
"Monte Rei, caatinga arb√≥rea",Brazil,-14.44250011,-44.19889832,Caatinga,450,yes
"Monteiro, caatinga quartzosa",Brazil,-7.836400032,-37.19309998,Caatinga,451,yes
"Montes Claros, floresta decidual",Brazil,-16.74309921,-43.90719986,Caatinga,453,yes
"Montividiu, caatinga areno-rup√≠cola",Brazil,-15.14140034,-42.69390106,Caatinga,454,yes
"Morpar√°, caatinga carbon√°tica",Brazil,-11.66889954,-43.21640015,Caatinga,455,yes
"Morro do Chap√©u, floresta areno-rup√≠cola",Brazil,-11.00529957,-41.27890015,Caatinga,456,yes
"Mossor√≥, caatinga costeira",Brazil,-5.144199848,-37.39360046,Caatinga,458,yes
"Mundo Novo, caatinga quartzosa",Brazil,-11.87059975,-40.39559937,Caatinga,481,yes
"Naz√°rio, cerrado rup√≠cola",Brazil,-15.47189999,-48.84749985,Central Brazil,485,yes
"Nioaque, cerrad√£o mesotr√≥fico",Brazil,-19.02779961,-57.5807991,Central Brazil,488,yes
"Nossa Senhora da Gl√≥ria, caatinga quartzosa",Brazil,-10.23690033,-37.43170166,Caatinga,489,yes
"Nossa Senhora do Livramento, cerradao mesotrofico",Brazil,-16.25600052,-56.36999893,Central Brazil,490,yes
"Nossa Senhora do Livramento, floresta rip√≠cola",Brazil,-16.73189926,-56.8382988,Central Brazil,491,yes
"Novo Oriente, carrasco aren√≠cola",Brazil,-5.599400043,-40.90140152,Caatinga,492,yes
"Olhos d‚Äô√Ågua, floresta decidual",Brazil,-17.30419922,-43.75360107,Caatinga,496,yes
"Oliveira dos Brejinhos, nanofloresta decidual rup√≠cola",Brazil,-12.53470039,-42.85469818,Caatinga,497,yes
"Or√≥s e Ic√≥, caatinga quartzosa",Brazil,-6.300000191,-38.92829895,Caatinga,499,yes
"Ouricuri, caatinga quartzosa",Brazil,-7.848899841,-40.0943985,Caatinga,501,yes
"Ouro Velho, caatinga quartzosa",Brazil,-7.598599911,-37.13190079,Caatinga,502,yes
"P√£o de A√ß√∫car, caatinga quartzosa",Brazil,-9.744999886,-37.39720154,Caatinga,543,yes
"P√£o de A√ß√∫car, floresta decidual rup√≠cola",Brazil,-21.44470024,-57.89250183,Central Brazil,544,yes
"Padre Marcos, caatinga aren√≠cola",Brazil,-7.349999905,-40.8932991,Caatinga,545,yes
"Pai Pedro, caatinga arb√≥rea",Brazil,-15.56110001,-43.2242012,Caatinga,546,yes
Pal1 (Tocantins),Brazil,-12.90709972,-46.54869843,Central Brazil,547,yes
Pal3 (Tocantins),Brazil,-12.75650024,-46.46369934,Central Brazil,548,yes
Pal4 (Tocantins),Brazil,-12.6182003,-46.5984993,Central Brazil,549,yes
Palmeir√≥polis (Tocantins),Brazil,-13.16520023,-48.22510147,Central Brazil,551,yes
"Palmeiras, nanofloresta decidual rup√≠cola",Brazil,-12.55280018,-41.61439896,Caatinga,552,yes
"Palmitos, floresta semidecidual",Brazil,-27.09140015,-53.09999847,Misiones,553,yes
"Palotina, floresta semidecidual",Brazil,-24.31310081,-53.91469955,Misiones,555,yes
"Pandeiros, floresta decidual",Brazil,-15.51169968,-44.75329971,Caatinga,558,yes
"Paracatu, floresta decidual",Brazil,-17.22330093,-46.81890106,Central Brazil,560,yes
"Paramirim, caatinga arb√≥rea",Brazil,-13.43080044,-42.20360184,Caatinga,562,yes
"Parnamirim, caatinga quartzosa",Brazil,-8.071399689,-39.50889969,Caatinga,565,yes
"Parque Nacional das Emas, cerrado",Brazil,-13.51970005,-46.49969864,Central Brazil,568,yes
"Passos, floresta decidual",Brazil,-20.68889999,-46.52420044,Central Brazil,570,yes
"Patos, caatinga quartzosa",Brazil,-7,-37.38330078,Caatinga,574,yes
"Paulo Afonso, caatinga aren√≠cola",Brazil,-9.073599815,-38.42279816,Caatinga,575,yes
"Pedra da Boca, floresta decidual de brejo",Brazil,-6.459700108,-35.68889999,Caatinga,576,yes
"Pedra da On√ßa, floresta decidual",Brazil,-15.99860001,-52.51079941,Central Brazil,577,yes
"Pedra Furada, caatinga quartzosa",Brazil,-8.553600311,-36.8382988,Caatinga,578,yes
"Pedro Gomes, floresta rip√≠cola",Brazil,-20.44939995,-55.49639893,Central Brazil,579,yes
"Pend√™ncias, caatinga costeira",Brazil,-5.251699924,-36.70080185,Caatinga,580,yes
"Pesqueira, floresta decidual de brejo",Brazil,-8.340800285,-36.77750015,Caatinga,583,yes
"Petrolina, caatinga quartzosa",Brazil,-9.234199524,-40.60029984,Caatinga,584,yes
"Piat√£, nanofloresta decidual rup√≠cola",Brazil,-13.00139999,-41.76860046,Caatinga,585,yes
"Pil√£o Arcado, caatinga aren√≠cola",Brazil,-10.11830044,-42.88529968,Caatinga,590,yes
"Piren√≥polis, cerrado",Brazil,-13.15060043,-46.65499878,Central Brazil,592,yes
"Piren√≥polis, cerrado",Brazil,-13.15219975,-46.65599823,Central Brazil,593,yes
"Pirenopolis, cerrado rupicola",Brazil,-15.81099987,-48.87799835,Central Brazil,594,yes
"Po√ßo Redondo, caatinga aren√≠cola",Brazil,-9.818900108,-37.81829834,Caatinga,599,yes
"Pombal, caatinga quartzosa",Brazil,-6.770599842,-37.77690125,Caatinga,600,yes
"Porteirinha, caatinga arb√≥rea",Brazil,-15.72780037,-43.04109955,Caatinga,601,yes
"Porto Esperidi√£o, floresta rip√≠cola",Brazil,-16.61100006,-56.26300049,Central Brazil,602,yes
"Porto Esperidi√£o, floresta rip√≠cola",Brazil,-16.61079979,-56.26250076,Central Brazil,603,yes
"Porto Esperidi√£o, floresta rip√≠cola",Brazil,-16.62400055,-56.22299957,Central Brazil,604,yes
"Porto Murtinho, floresta estacional inund√°vel",Brazil,-21.59939957,-57.83470154,Central Brazil,605,yes
"Presidente Oleg√°rio, floresta decidual",Brazil,-18.37669945,-46.41139984,Central Brazil,609,yes
"Quedas do Igua√ßu, floresta semidecidual",Brazil,-25.55780029,-52.97940063,Misiones,616,yes
"Queimadas, caatinga quartzosa",Brazil,-10.97640038,-39.58969879,Caatinga,617,yes
"Quixad√°, caatinga quartzosa",Brazil,-4.918300152,-39.07189941,Caatinga,621,yes
"Rem√≠gio, caatinga quartzosa",Brazil,-6.883299828,-35.79439926,Caatinga,628,yes
"Remanso, caatinga aren√≠cola",Brazil,-9.656900406,-42.2193985,Caatinga,629,yes
"Riach√£o das Neves, caatinga arb√≥rea",Brazil,-11.67440033,-45.00439835,Caatinga,637,yes
"Ribeir√£o Preto, floresta decidual",Brazil,-21.2928009,-47.89810181,Central Brazil,638,yes
"Rio Apa, floresta estacional inund√°vel",Brazil,-22.03359985,-57.5141983,Central Brazil,639,yes
"Rio Aquidab√£, floresta estacional inund√°vel",Brazil,-21.41749954,-57.53279877,Central Brazil,640,yes
"Rio Caracol, cerrad√£o mesotr√≥fico",Brazil,-19.46809959,-56.99560165,Central Brazil,641,yes
"Rio Jaburu, floresta de v√°rzea",Brazil,-10.79609966,-49.88560104,Central Brazil,642,yes
"Rio Negro de Mato Grosso, floresta rip√≠cola",Brazil,-21.15859985,-55.71279907,Central Brazil,643,yes
"Rio Verde de Mato Grosso, cerrado",Brazil,-20.37579918,-56.46580124,Central Brazil,644,yes
"Rio Verde de Mato Grosso, floresta rip√≠cola",Brazil,-21.13190079,-55.86439896,Central Brazil,645,yes
"Rio Verde, floresta semidecidual",Brazil,-15.76809978,-49.0821991,Central Brazil,646,yes
"Rodeio Bonito, floresta semidecidual",Brazil,-27.47030067,-53.11439896,Misiones,656,yes
"Rodelas, caatinga aren√≠cola",Brazil,-8.877799988,-38.73469925,Caatinga,657,yes
"Rondon√≥polis, floresta rip√≠cola",Brazil,-16.74830055,-56.97140121,Central Brazil,659,yes
"S√£o Bento do Una, floresta decidual de brejo",Brazil,-8.533100128,-36.54970169,Caatinga,662,yes
"S√£o Desid√©rio, caatinga arb√≥rea",Brazil,-12.37110043,-44.96469879,Caatinga,663,yes
"S√£o F√©lix do Coribe, caatinga arb√≥rea",Brazil,-13.79329967,-44.30189896,Caatinga,664,yes
"S√£o Francisco, floresta decidual",Brazil,-16.00499916,-44.8810997,Central Brazil,665,yes
"S√£o Jo√£o do Cariri, caatinga quartzosa",Brazil,-7.398900032,-36.4919014,Caatinga,666,yes
"S√£o Jos√© do Belmonte, caatinga quartzosa",Brazil,-7.873099804,-38.83750153,Caatinga,667,yes
"S√£o Jos√© do Piau√≠, caatinga aren√≠cola",Brazil,-6.851900101,-41.48249817,Caatinga,668,yes
"S√£o Jos√© dos Cordeiros, caatinga quartzosa",Brazil,-7.468900204,-36.9007988,Caatinga,669,yes
"S√£o Luiz Gonzaga, floresta semidecidual",Brazil,-28.35029984,-54.92029953,Misiones,670,yes
"S√£o Miguel das Miss√µes, floresta semidecidual",Brazil,-28.65139961,-54.63890076,Misiones,671,yes
"S√£o Nicolau, floresta semidecidual",Brazil,-28.24169922,-55.28310013,Misiones,672,yes
"S√£o Rom√£o, floresta decidual",Brazil,-16.19890022,-45.17279816,Central Brazil,673,yes
"Sagarana, floresta decidual",Brazil,-16.19309998,-46.15499878,Central Brazil,676,yes
"Salgueiro, caatinga quartzosa",Brazil,-8.070799828,-39.09690094,Caatinga,677,yes
"Salinas, caatinga arb√≥rea",Brazil,-16.2317009,-42.26330185,Caatinga,678,yes
"Santa Br√≠gida, caatinga aren√≠cola",Brazil,-9.576700211,-38.50189972,Caatinga,693,yes
"Santa F√© de Minas, floresta decidual",Brazil,-16.88190079,-45.32220078,Central Brazil,695,yes
"Santa Helena, floresta semidecidual",Brazil,-24.88419914,-54.22389984,Misiones,697,yes
"Santa Isabel do Morro, cerrad√£o satur√°vel",Brazil,-12.79469967,-46.6996994,Central Brazil,698,yes
"Santa Isabel do Morro, cerrad√£o satur√°vel",Brazil,-12.81270027,-46.68220139,Central Brazil,699,yes
"Santa Maria da Boa Vista, caatinga quartzosa",Brazil,-8.768600464,-39.82419968,Caatinga,700,yes
"Santa Maria da Vitoria, caatinga arb√≥rea",Brazil,-13.45639992,-44.17580032,Caatinga,701,yes
"Santa Quit√©ria, caatinga quartzosa",Brazil,-4.293600082,-40.09669876,Caatinga,702,yes
"Santa Rosa, floresta semidecidual",Brazil,-27.8906002,-54.55220032,Misiones,704,yes
"Santa Vit√≥ria, floresta decidual",Brazil,-19.17939949,-50.69689941,Central Brazil,705,yes
"Santana do Cariri, carrasco aren√≠cola",Brazil,-7.262499809,-39.65999985,Caatinga,708,yes
"Santana, caatinga carbon√°tica",Brazil,-12.95689964,-44.04919815,Caatinga,709,yes
"Santo √Çngelo, floresta semidecidual",Brazil,-28.19560051,-54.1719017,Misiones,712,yes
"Santo Ant√¥nio do Retiro, caatinga areno-rup√≠cola",Brazil,-15.12779999,-43.02000046,Caatinga,713,yes
"Santo Hip√≥lito, floresta decidual",Brazil,-18.29140091,-44.19060135,Central Brazil,715,yes
"Senhor do Bonfim, floresta decidual rup√≠cola",Brazil,-10.40559959,-40.21500015,Caatinga,718,yes
"Serid√≥, caatinga quartzosa",Brazil,-6.620600224,-37.32170105,Caatinga,719,yes
"Serra Branca, caatinga quartzosa",Brazil,-7.515600204,-36.64530182,Caatinga,720,yes
"Serra da Capivara, floresta areno-rup√≠cola",Brazil,-8.531399727,-42.73720169,Caatinga,721,yes
"Serra da Capivara, Tabuleiro, caatinga aren√≠cola",Brazil,-8.73939991,-42.4693985,Caatinga,722,yes
"Serra das Almas, caatinga quartzosa",Brazil,-5.125599861,-40.86859894,Caatinga,723,yes
"Serra das Almas, carrasco aren√≠cola",Brazil,-5.173099995,-40.93500137,Caatinga,724,yes
"Serra das Almas, floresta areno-rup√≠cola",Brazil,-5.113900185,-40.92079926,Caatinga,725,yes
"Serra das Confus√µes, floresta aren√≠cola",Brazil,-8.925800323,-43.36169815,Caatinga,726,yes
"Serra das Confus√µes, nanofloresta aren√≠cola",Brazil,-9.210800171,-43.49580002,Caatinga,727,yes
"Serra das Mangabeiras, floresta areno-rup√≠cola",Brazil,-12.01080036,-42.72249985,Caatinga,728,yes
"Serra de Maracaju, cerrad√£o mesotr√≥fico",Brazil,-17.77249908,-57.62250137,Central Brazil,729,yes
"Serra de Pacatuba, floresta decidual de brejo",Brazil,-4.014699936,-38.66249847,Caatinga,730,yes
"Serra Negra, caatinga quartzosa",Brazil,-8.571700096,-38.13029861,Caatinga,731,yes
"Serra Negra, floresta decidual de brejo",Brazil,-8.65170002,-38.02420044,Caatinga,732,yes
"Serra Preta, mata decidual do Agreste",Brazil,-12.15359974,-39.36309814,Caatinga,733,yes
"Serra Talhada, caatinga quartzosa",Brazil,-7.851900101,-38.26919937,Caatinga,734,yes
"Serra Vermelha, caatinga arb√≥rea",Brazil,-9.656700134,-44.12440109,Caatinga,735,yes
"Serran√≥polis do Igua√ßu, floresta semidecidual",Brazil,-25.4605999,-54.03110123,Misiones,736,yes
"Serran√≥polis, cerrado",Brazil,-13.79749966,-46.59420013,Central Brazil,737,yes
"Sert√¢nia, caatinga quartzosa",Brazil,-8.101099968,-37.27170181,Caatinga,740,yes
"Sete Cidades, nanofloresta aren√≠cola",Brazil,-4.067200184,-41.69670105,Central Brazil,741,yes
"Sidrol√¢ndia, cerrad√£o mesotr√≥fico",Brazil,-18.97439957,-56.64310074,Central Brazil,743,yes
"Sousa, caatinga quartzosa",Brazil,-6.718299866,-38.17639923,Caatinga,744,yes
"Sum√©, caatinga quartzosa",Brazil,-7.770599842,-36.93920135,Caatinga,748,yes
"Tangar√° da Serra, floresta rip√≠cola",Brazil,-16.96610069,-56.92029953,Central Brazil,753,yes
"Tau√°, caatinga quartzosa",Brazil,-6.013100147,-40.40859985,Caatinga,762,yes
"Tenente Portela, floresta semidecidual",Brazil,-27.36940002,-53.68830109,Misiones,767,yes
"Terenos, floresta rip√≠cola",Brazil,-21.97360039,-56.25,Central Brazil,768,yes
"Toledo, floresta, semidecidual",Brazil,-24.71719933,-53.92470169,Misiones,771,yes
Tos1 (Tocantins),Brazil,-13.03999996,-48.48360062,Central Brazil,773,yes
"Tr√™s Barras do Paran√°, floresta semidecidual",Brazil,-25.43309975,-53.13970184,Misiones,774,yes
"Tr√™s Marias, floresta decidual",Brazil,-18.08860016,-45.18330002,Central Brazil,775,yes
"Triunfo, floresta decidual de brejo",Brazil,-7.84499979,-38.1114006,Caatinga,778,yes
"Tucano, caatinga aren√≠cola",Brazil,-11.16889954,-38.73360062,Caatinga,779,yes
"Tucano, caatinga quartzosa",Brazil,-10.87530041,-39.03639984,Caatinga,780,yes
"Tucunduva e Alecrim, floresta semidecidual",Brazil,-27.6508007,-54.4510994,Misiones,781,yes
"Tun√°polis, floresta semidecidual",Brazil,-26.95669937,-53.68560028,Misiones,783,yes
"Uau√°, caatinga quartzosa",Brazil,-9.787799835,-39.75690079,Caatinga,784,yes
"Ubajara, carrasco aren√≠cola",Brazil,-3.753599882,-41.0503006,Caatinga,785,yes
"Uberl√¢ndia, Buriti, floresta decidual",Brazil,-18.81940079,-48.15999985,Central Brazil,786,yes
"Una√≠, Gruta do Curral, floresta decidual",Brazil,-16.40559959,-47.0760994,Central Brazil,788,yes
"Urandi, caatinga arb√≥rea",Brazil,-14.73999977,-42.54639816,Caatinga,790,yes
"Uruana de Minas, floresta decidual",Brazil,-16.09309959,-46.38029861,Central Brazil,791,yes
"Urucuia, floresta decidual",Brazil,-16.23060036,-45.53219986,Central Brazil,792,yes
"V√°rzea da Palma, floresta decidual",Brazil,-17.59219933,-44.7071991,Central Brazil,794,yes
"Vale do Cura√ß√°, caatinga aren√≠cola",Brazil,-9.665800095,-39.96969986,Caatinga,795,yes
"Xique-xique, caatinga aren√≠cola",Brazil,-10.80029964,-42.67750168,Caatinga,801,yes
"Aguas da Prata, floresta semidecidual",Brazil,-21.90999985,-46.72890091,NA,NA,No
"Aguas de Santa B·rbara, floresta semidecidual",Brazil,-22.87669945,-49.26279831,NA,NA,No
"Aguas Emendadas, floresta ripÌcola",Brazil,-15.54059982,-47.57500076,NA,NA,No
"Aguas Formosas, floresta semidecidual",Brazil,-17.08169937,-40.85499954,NA,NA,No
"Aguas Vermelhas, floresta semidecidual de cipÛ",Brazil,-15.71560001,-41.43109894,NA,NA,No
"Aguia Branca, floresta semidecidual",Brazil,-18.96689987,-40.73469925,NA,NA,No
"AÁucena, floresta semidecidual",Brazil,-19.04330063,-42.43389893,NA,NA,No
"Abadia, floresta semidecidual",Brazil,-17.69000053,-43.15000153,NA,NA,No
"Abadia, floresta semidecidual",Brazil,-17.67690086,-43.1067009,NA,NA,No
"AbaetÈ, floresta ripÌcola",Brazil,-19.26639938,-45.27420044,NA,NA,No
"Abreul‚ndia, cerrad„o satur·vel",Brazil,-6.15749979,-47.64530182,NA,NA,No
"Acau„, carrasco",Brazil,-17.14749908,-42.76720047,NA,NA,No
"Ad„o Colares, Rio ItacambiruÁu, floresta semidecidual",Brazil,-16.69389915,-43.03310013,NA,NA,No
"Afonso Cl·udio, floresta semidecidual",Brazil,-20.07780075,-41.11389923,NA,NA,No
AGROPOP Floresta DecÌdua,Brazil,-15.60529995,-44.67499924,NA,NA,No
"Agua Boa, cerrado",Brazil,-14.37899971,-52.11199951,NA,NA,No
"Agudos, floresta semidecidual",Brazil,-22.45059967,-48.95920181,NA,NA,No
"AimorÈs, floresta semidecidual",Brazil,-19.47719955,-41.07360077,NA,NA,No
"Alagoinhas, floresta semidecidual",Brazil,-12.02610016,-38.42060089,NA,NA,No
"AlcinÛpolis, cerrado",Brazil,-20.14830017,-54.56579971,NA,NA,No
"Aldeia OfaiÈ, floresta semidecidual",Brazil,-22.72330093,-53.21220016,NA,NA,No
"Alegre, floresta semidecidual",Brazil,-20.78079987,-41.48310089,NA,NA,No
"AlÈm ParaÌba, Alto D'Ouro, floresta semidecidual",Brazil,-21.9116993,-42.8905983,NA,NA,No
"Alfenas, floresta semidecidual",Brazil,-21.33139992,-45.84749985,NA,NA,No
"AlianÁa, floresta semidecidual",Brazil,-7.637199879,-35.22499847,NA,NA,No
"Almenara, floresta semidecidual de cipÛ",Brazil,-16.05750084,-40.8443985,NA,NA,No
Altamira 2 (Goi·s),Brazil,-16.57819939,-49.17210007,NA,NA,No
"Alto Boa Vista, cerrado",Brazil,-14.59780025,-52.36809921,NA,NA,No
"Alto Boa Vista, floresta ripÌcola",Brazil,-12.73419952,-52.30810165,NA,NA,No
"Alto da Serra Caldas, cerrado",Brazil,-15.2578001,-48.03580093,NA,NA,No
"Alto Pandeiros, floresta ripÌcola",Brazil,-15.12110043,-45.20610046,NA,NA,No
"Alto Rio Doce, floresta semidecidual",Brazil,-21.02330017,-43.37060165,NA,NA,No
"Alto Rio Preto, floresta ripÌcola",Brazil,-12.11170006,-45.18000031,NA,NA,No
"AltÙnia, floresta semidecidual",Brazil,-23.85169983,-52.75059891,NA,NA,No
"AlvinÛpolis, floresta semidecidual",Brazil,-20.06419945,-43.0318985,NA,NA,No
"Amapor„, floresta semidecidual",Brazil,-23.06439972,-52.33610153,NA,NA,No
"AmeliÛpolis, floresta semidecidual",Brazil,-21.84390068,-51.27030182,NA,NA,No
"Amparo, floresta semidecidual",Brazil,-22.68939972,-46.66749954,NA,NA,No
"An·polis, floresta semidecidual",Brazil,-16.34000015,-48.87860107,NA,NA,No
"Anauril‚ndia, floresta semidecidual",Brazil,-22.78310013,-53.53030014,NA,NA,No
"Andradas, floresta semidecidual",Brazil,-22.04809952,-46.56689835,NA,NA,No
"Andradina, floresta semidecidual",Brazil,-20.7439003,-51.26279831,NA,NA,No
"Angatuba, floresta semidecidual",Brazil,-23.40360069,-48.36809921,NA,NA,No
"Anhembi, floresta semidecidual",Brazil,-22.66889954,-48.15140152,NA,NA,No
Anto (Tocantins),Brazil,-11.88500023,-49.11220169,NA,NA,No
"AntÙnio Dias, floresta semidecidual",Brazil,-19.62669945,-42.86529922,NA,NA,No
Ara1 (Tocantins),Brazil,-7.332680225,-48.95410156,NA,NA,No
Ara2 (Tocantins),Brazil,-6.980790138,-49.04610062,NA,NA,No
"AraÁatuba, floresta semidecidual",Brazil,-21.13310051,-50.60559845,NA,NA,No
"Araguaia, murundus norte, cerrado",Brazil,-12.03800011,-50.73400116,NA,NA,No
"Araguari, John Kennedy, floresta semidecidual",Brazil,-18.6508007,-48.18330002,NA,NA,No
"Araguari, TeÛfilo, floresta semidecidual",Brazil,-18.49830055,-48.38669968,NA,NA,No
"Araguatins, cerrado",Brazil,-10.4982996,-47.98559952,NA,NA,No
"Arantina e Bom Jardim, floresta semidecidual",Brazil,-21.93720055,-44.26580048,NA,NA,No
"Araraquara, floresta semidecidual",Brazil,-21.82250023,-48.0318985,NA,NA,No
"Araruama, Morro Grande, floresta semidecidual",Brazil,-22.79669952,-42.31779861,NA,NA,No
"Araruama, Praia Seca, restinga estacional",Brazil,-22.93440056,-42.33470154,NA,NA,No
"Arax·, floresta ripÌcola",Brazil,-19.60689926,-46.90859985,NA,NA,No
"Arcos e Pains, floresta decidual",Brazil,-20.32900047,-45.58000183,NA,NA,No
"Arealva, floresta semidecidual",Brazil,-21.97529984,-48.90940094,NA,NA,No
"Areia, floresta semidecidual",Brazil,-6.96780014,-35.74580002,NA,NA,No
"Areias, floresta semidecidual",Brazil,-22.64559937,-44.72280121,NA,NA,No
"Aricanduva, floresta semidecidual",Brazil,-17.87919998,-42.52939987,NA,NA,No
ARIE Laerth Paiva Gama,Brazil,-20.76749992,-41.54919815,NA,NA,No
"ArmaÁ„o dos B˙zios, EmerenÁas, floresta semidecidual",Brazil,-22.81500053,-41.95809937,NA,NA,No
"ArmaÁ„o dos B˙zios, restinga estacional",Brazil,-22.75860023,-41.8932991,NA,NA,No
Aruan„ (Goi·s),Brazil,-14.75500011,-51.02629852,NA,NA,No
"Assis, floresta semidecidual",Brazil,-22.57690048,-50.37609863,NA,NA,No
"Astorga, floresta semidecidual",Brazil,-23.25559998,-51.03170013,NA,NA,No
"AvarÈ, floresta semidecidual",Brazil,-23.20639992,-48.90110016,NA,NA,No
Bacia Balsas (Tocantins),Brazil,-10.25559998,-48.04330063,NA,NA,No
Bacia Barreiras (Tocantins),Brazil,-8.571229935,-48.74990082,NA,NA,No
"Baependi, floresta semidecidual",Brazil,-21.88310051,-44.92079926,NA,NA,No
"Baixo Guandu, floresta semidecidual",Brazil,-19.50110054,-40.92829895,NA,NA,No
"Baixo Urucuia, floresta ripÌcola",Brazil,-16.32390022,-45.34859848,NA,NA,No
"BambuÌ, floresta ripÌcola",Brazil,-19.98080063,-46.07170105,NA,NA,No
"Bananal, floresta semidecidual",Brazil,-22.63139915,-44.28969955,NA,NA,No
"Bandeira e Macarani, floresta semidecidual de cipÛ",Brazil,-15.78030014,-40.5196991,NA,NA,No
"Bandeirantes do Paran·, floresta semidecidual",Brazil,-23.13750076,-49.75939941,NA,NA,No
"Barbacena, floresta semidecidual",Brazil,-21.19059944,-43.7030983,NA,NA,No
"Barra de S„o Francisco, floresta semidecidual",Brazil,-18.7439003,-40.83420181,NA,NA,No
"Barra do PiraÌ, floresta semidecidual",Brazil,-22.44470024,-43.8246994,NA,NA,No
"Barretos, floresta semidecidual",Brazil,-20.48279953,-48.8260994,NA,NA,No
"Barroso, floresta semidecidual",Brazil,-21.20919991,-43.92860031,NA,NA,No
"Bataguassu, floresta semidecidual",Brazil,-22.73920059,-53.34329987,NA,NA,No
"Batatais, floresta semidecidual",Brazil,-20.80109978,-47.57720184,NA,NA,No
"BaturitÈ, Guaramiranga e Taveiras, floresta semidecidual de brejo",Brazil,-4.302199841,-38.91999817,NA,NA,No
"Bauru, floresta semidecidual",Brazil,-22.23360062,-49.08470154,NA,NA,No
"Bebedouro, floresta semidecidual",Brazil,-20.88559914,-48.5367012,NA,NA,No
"Bela Vista do ParaÌso, floresta semidecidual",Brazil,-22.9239006,-52.03030014,NA,NA,No
"Belo Horizonte, floresta semidecidual",Brazil,-19.87689972,-43.97190094,NA,NA,No
"Betim, floresta semidecidual",Brazil,-19.94779968,-44.2419014,NA,NA,No
"Bofete, floresta semidecidual",Brazil,-22.99360085,-48.2317009,NA,NA,No
"Bom Jesus do Itabapoana, floresta semidecidual",Brazil,-21.14669991,-41.69609833,NA,NA,No
"BonfinÛpolis de Minas, floresta ripÌcola",Brazil,-16.56640053,-46.00329971,NA,NA,No
Bonito de Minas Floresta Decidua,Brazil,-15.31140041,-44.73469925,NA,NA,No
"Bonito, floresta semidecidual de brejo",Brazil,-8.524200439,-35.70330048,NA,NA,No
"Botucatu, floresta semidecidual",Brazil,-22.83749962,-48.42639923,NA,NA,No
"Bra˙na, floresta semidecidual",Brazil,-21.5291996,-50.29169846,NA,NA,No
"Bra˙nas, floresta semidecidual",Brazil,-19.14030075,-42.76330185,NA,NA,No
"BraganÁa Paulista, floresta semidecidual",Brazil,-22.93499947,-46.70389938,NA,NA,No
"Brasil‚ndia de Minas, floresta ripÌcola",Brazil,-17.05610085,-45.97529984,NA,NA,No
"Brasilandia, cerrado",Brazil,-17.0359993,-45.85300064,NA,NA,No
Brejo Novo,Brazil,-21.41279984,-43.57360077,NA,NA,No
"Brotas, floresta semidecidual",Brazil,-22.30529976,-48.07109833,NA,NA,No
"Brumadinho, floresta semidecidual",Brazil,-20.17779922,-44.26470184,NA,NA,No
